#Limiti di energia lasciata in Si1 per identificazione in Z e A per PSA Imax-E in Si1
#blocco qua tel Z ESi1minZid ESi1maxZid ESi1minAid ESi1maxAid
2 1 2 33 732.0 1653.0 -1  -1 
2 1 2 34 750.0 1698.0 -1  -1 
2 1 2 35 819.0 1769.0 -1  -1 
2 1 2 36 879.0 1713.0 -1  -1 
2 1 2 37 906.0 1560.0 -1  -1 
2 1 3 2 6.0 26.0 -1  -1 
2 1 3 3 11.0 51.0 25.0 44.0
2 1 3 4 17.0 76.0 25.0 67.0
2 1 3 5 24.0 103.0 45.0 98.0
2 1 3 6 32.0 138.0 64.0 133.0
2 1 3 7 41.0 171.0 87.0 168.0
2 1 3 8 52.0 209.0 111.0 206.0
2 1 3 9 63.0 249.0 141.0 244.0
2 1 3 10 76.0 293.0 175.0 288.0
2 1 3 11 84.0 337.0 211.0 331.0
2 1 3 12 101.0 385.0 241.0 379.0
2 1 3 13 114.0 437.0 282.0 425.0
2 1 3 14 136.0 486.0 327.0 510.0
2 1 3 15 160.0 534.0 376.0 531.0
2 1 3 16 173.0 605.0 418.0 583.0
2 1 3 17 208.0 645.0 470.0 645.0
2 1 3 18 203.0 694.0 532.0 694.0
2 1 3 19 232.0 757.0 -1  -1 
2 1 3 20 252.0 829.0 -1  -1 
2 1 3 21 310.0 890.0 -1  -1 
2 1 3 22 331.0 959.0 -1  -1 
2 1 3 23 397.0 1016.0 -1  -1 
2 1 3 24 437.0 1084.0 -1  -1 
2 1 3 25 480.0 1143.0 -1  -1 
2 1 3 26 516.0 1206.0 -1  -1 
2 1 3 27 547.0 1267.0 -1  -1 
2 1 3 28 566.0 1325.0 -1  -1 
2 1 3 29 601.0 1384.0 -1  -1 
2 1 3 30 626.0 1444.0 -1  -1 
2 1 3 31 661.0 1529.0 -1  -1 
2 1 3 32 673.0 1591.0 -1  -1 
2 1 3 33 707.0 1662.0 -1  -1 
2 1 3 34 745.0 1727.0 -1  -1 
2 1 3 35 768.0 1749.0 -1  -1 
2 1 3 36 810.0 1789.0 -1  -1 
